Name: Apostolos Zarras
AFM: 131313133
Status: Married Filing Jointly
Income: 22570.0


Receipts: 


ReceiptID: 33
Date: 2522014
Kind: Basic
Amount: 2000
Company: Hand Made Clothes
Country: Greece
City: Ioannina
Street: Kaloudi
Number: 10


ReceiptID: 222
Date: 2822014
Kind: Entertainment
Amount: 500
Company: Floca Cafe
Country: Greece
City: Ioannina
Street: Kavafi
Number: 4


ReceiptID: 3333
Date: 1032014
Kind: Health
Amount: 500
Company: Dentisthr
Country: Greece
City: Ioannina
Street: Lamprou
Number: 20


ReceiptID: 444
Date: 352014
Kind: Other
Amount: 900
Company: Public
Country: Greece
City: Ioannina
Street: Vlahlidou
Number: 20


ReceiptID: 12312366
Date: 55554r
Kind: Travel
Amount: 444
Company: adsa
Country: ewew
City: rrrrr
Street: erere
Number: 34
